year;co2_concentration
2342;284.7
3634;272.8
3833;268.1
6220;262.2
7327;254.6
8113;259.6
10123;261.6
11013;263.7
11326;244.8
11719;238.3
13405;236.2
13989;225.3
17695;182.2
19988;189.2
22977;191.6
26303;188.5
27062;191.7
31447;205.4
33884;209.1
39880;209.1
44766;189.3
47024;188.4
48229;210.1
49414;215.7
51174;190.4
57068;221.8
57799;210.4
63687;195.4
65701;191.4
66883;195
72849;227.4
75360;229.2
78995;217.1
80059;221.8
82858;231
84929;241.1
85727;236.4
86323;228.1
87180;214.2
88051;217
89363;208
91691;224.3
92460;228.4
95349;232.1
99842;225.9
100833;230.9
101829;236.9
103372;228.2
105213;236.9
106203;230.7
108308;238.2
108994;245.7
110253;251.3
111456;256.8
112577;266.3
113472;261.4
114082;274.6
114738;273.3
116175;262.5
117519;267.6
118396;273.8
119273;272
120002;265.2
120652;277.7
121961;272.2
122606;276.5
123815;268.7
123858;266.6
124306;266.3
124571;279.8
124723;273
124876;277.2
125746;273.8
126023;267.1
126475;262.5
126809;262.6
127445;275.4
127808;275.6
128300;274.1
128399;287.1
128652;286.8
129007;282.7
129411;264.1
129755;263.4
130106;257.9
130167;259
130992;264.6
131661;245
131789;240.4
132067;228.9
132818;223.5
133334;224
133366;220.3
133636;210.6
134205;208.9
134362;203.7
135003;204.6
135172;200.4
135271;198
135683;198.1
135976;201.8
136099;200.7
136359;202.5
136659;195.9
136743;201.1
137383;194.4
137694;193.4
137986;194.2
138226;190.2
139445;192.3
139851;196.5
141256;195.6
141312;196.5
142357;190.4
145435;197
149157;203
150303;191.9
150423;188.9
151854;200.6
154471;189
155299;185.5
155707;187.5
160494;204.4
161037;196.5
162996;191.6
163522;190.1
164341;186.7
165278;183.8
166299;196.5
169870;197.9
172596;197.8
174617;196
175440;190.3
176030;189.4
176271;190.1
178550;207.7
180779;213.2
181617;217.7
182447;198.1
183355;199.8
185063;203.5
187199;210.7
189335;231.4
191057;231.5
191592;220.3
192632;218
195123;226.5
195625;220.1
197567;226.4
198442;241.2
199025;242.6
202212;251
203191;239.1
204283;247.7
205148;244.4
205435;231.9
205715;232.2
206119;228.7
206672;226.3
207029;229.4
207412;231.4
207991;238.2
208177;237.2
208794;230
209073;240.5
209414;242.2
210022;244.6
210232;243.9
210830;247.3
211005;252
211476;246.9
211929;239.5
212281;257.4
213005;243.4
214153;251.2
215041;241.4
215593;240.3
215879;242.7
216459;247.5
217009;251.7
217271;251.2
217574;245.3
217676;245.4
218342;240.5
219679;214.1
219680;212.2
220042;216.1
220182;216.2
220758;203.7
220760;207.2
221054;208.9
221612;205.7
222958;203.4
223446;215.7
224630;236.9
225299;234.5
225509;233.1
225888;224.5
226710;232.4
227384;233.9
227840;241.7
230703;245.2
231382;252.1
231990;241.4
232570;247.4
233102;243.1
233646;239.2
234126;245.7
234470;245.9
234781;247.4
235213;252.9
236236;259.8
236851;263.2
237831;279
238199;280.3
238935;263.8
239250;252.4
239545;249.9
239866;236.7
240201;230.4
240577;219.4
242068;214.7
243653;200.2
244215;213.9
244863;195.4
245483;196.7
246090;195.4
247447;199
248087;201.9
248980;204
250461;203.9
251521;209.7
252174;205.7
252959;208.9
253880;214.7
255233;228.2
256053;199.9
256501;211.7
257247;188.7
257792;187.2
258477;194.2
259228;198.9
259958;184.7
260754;190.4
261595;193.9
262411;194.2
263207;198.4
264046;193.2
264834;202.2
265703;204.5
266492;211
267434;215.4
268679;223.7
270680;231.4
272275;228
273012;226.4
273910;231.4
274445;230.4
275218;231
277298;234.9
277925;220.4
278602;217.2
279543;207.7
280361;206
281200;206.7
282301;212.7
283492;213.2
285301;217.1
286217;224.4
287102;231
287846;236.2
288492;239
289433;236
290571;240.2
291769;240.7
292474;250.2
293002;248.6
293676;244.9
294615;225.9
295849;227.9
296380;226.2
297131;233.2
298051;237.9
299020;239
299877;241.9
300646;251.7
301496;256.8
302456;257.2
303334;246.9
303953;272.7
304590;251.7
305304;245.2
305306;244.7
307131;255.9
308101;249.2
310035;257.2
310039;256.3
310930;260.4
311774;260.3
312669;260.6
313493;266.3
314374;264
315143;266.2
315940;270.2
316681;271.9
317445;275.2
318980;265
319754;271.8
320378;272.7
321386;273.2
322111;282.4
322582;289.2
322827;288.4
323485;298.7
324189;278.2
324991;285.8
325527;278.7
326239;270.5
327114;255.7
328097;241.9
329267;239.7
330208;234.2
332293;250.2
333627;200.7
335290;205.2
336972;204.9
338282;211.9
340165;220.4
342998;221.2
344735;216.2
346105;209.5
347610;209.2
350765;193
352412;186.2
354372;185.8
356838;201.2
359688;206.4
362766;201.9
364499;200
366221;214.7
368117;224.6
369563;229.7
373014;227
374561;240
376758;239.1
378194;246.9
379633;245.9
383504;258.1
384909;264.7
386579;259.3
390589;255.2
392451;250.2
394628;266.3
396713;274.7
398554;277.1
400390;278
405844;279.7
409022;281.2
409022;283.7
410831;276.3
414085;285.5
415434;286.9
417160;277.6
