Sub-sector;Share of global greenhouse gas emissions (%)
Road;11,9
Aviation;1,9
Rail;0,4
Pipeline;0,3
Ship;1,7
Residential;10,9
Commercial;6,6
Iron & Steel;7,2
Non-ferous metals;0,7
Machinery;0,5
Food and tobacco;1
Paper, pulp & printing;0,6
Chemical & petrochemical (energy);3,6
Other industry;10,6
Energy in Agri & Fishing;1,7
Unallocated fuel combustion;7,8
Coal;1,9
Oil & Natural Gas;3,9
Cement;3
Chemical & petrochemical (industrial);2,2
Livestock & Manure;5,8
Rice Cultivation;1,3
Agricultural Soils;4,1
Crop Burning;3,5
Forest Land;2,2
Cropland;1,4
Grassland;0,1
Landfills;1,9
Wastewater;1,3
